County,State,Outbreak Date,Flock Type,Species Name,Birds Affected,Flock Size
Allen,Indiana,1/24/2025,WOAH Poultry,Chicken,"26,100",26100
Beadle,South Dakota,3/23/2022,Commercial Turkey Meat Bird,Turkey,"49,900",49900
Clay,Minnesota,3/11/2024,WOAH Non-Poultry,Chicken,80,80
New London,Connecticut,3/1/2022,WOAH Non-Poultry,Chicken,160,160
Jerome,Idaho,5/10/2024,WOAH Non-Poultry,Chicken,20,20
Tuscola,Michigan,10/3/2022,WOAH Poultry,Chicken,140,140
Wexford,Michigan,4/28/2022,WOAH Poultry,Chicken,70,70
Morrison,Minnesota,4/21/2022,Commercial Turkey Meat Bird,Turkey,"40,900",40900
Kitsap,Washington,7/1/2022,WOAH Non-Poultry,Duck,6,6
Kent,Delaware,1/28/2025,Commercial Broiler Production,Chicken,"145,800",145800
Merced,California,12/20/2023,Commercial Table Egg Layer,Chicken,"243,300",243300
Brule,South Dakota,12/11/2024,Commercial Turkey Meat Bird,Turkey,"50,900",50900
Franklin,Ohio,3/29/2022,WOAH Non-Poultry,Chicken,8,8
Fayette,Kentucky,10/6/2022,WOAH Poultry,Poultry,150,150
Park,Wyoming,2/6/2023,WOAH Non-Poultry,Chicken,10,10
Accomack,Virginia,1/21/2025,Commercial Broiler Production,Chicken,"441,000",441000
Yellow Medicine,Minnesota,4/12/2022,Commercial Turkey Meat Bird,Turkey,"44,800",44800
Judith Basin,Montana,4/7/2022,WOAH Non-Poultry,Poultry,20,20
Brown,Minnesota,9/20/2022,Commercial Turkey Meat Bird,Turkey,"43,000",43000
Todd,Minnesota,4/21/2022,Commercial Turkey Meat Bird,Turkey,"19,700",19700
Darke,Ohio,12/7/2023,Commercial Turkey Meat Bird,Turkey,"15,200",15200
Butte,California,8/16/2022,WOAH Non-Poultry,Pheasant,"1,100",1100
Spink,South Dakota,11/29/2022,Commercial Turkey Meat Bird,Turkey,"32,900",32900
Le Sueur,Minnesota,4/3/2022,Commercial Turkey Meat Bird,Turkey,"19,600",19600
Darke,Ohio,2/4/2025,Commercial Turkey Meat Bird,Turkey,"5,400",5400
Daviess,Missouri,12/10/2024,WOAH Poultry,Chicken,"19,900",19900
Dixon,Nebraska,4/12/2022,Commercial Table Egg Layer,Chicken,"1,746,900",1746900
Lehigh,Pennsylvania,11/8/2022,Commercial Turkey Meat Bird,Turkey,"17,400",17400
Cooper,Missouri,12/27/2024,Commercial Turkey Breeder Hens,Turkey,"14,900",14900
Kern,California,11/20/2024,Commercial Table Egg Layer,Chicken,"1,022,400",1022400
Flathead,Montana,7/26/2022,WOAH Non-Poultry,Poultry,7,7
Sonoma,California,12/6/2023,Commercial Table Egg Layer,Chicken,"232,000",232000
Lamoure,North Dakota,4/4/2022,Commercial Turkey Meat Bird,Turkey,"50,900",50900
Dakota,Minnesota,1/16/2025,Commercial Turkey Meat Bird,Turkey,"79,900",79900
Modoc,California,4/12/2023,WOAH Non-Poultry,Multiple Poultry Species,60,60
Tioga,Pennsylvania,2/17/2023,WOAH Non-Poultry,Multiple Poultry Species,50,50
Sumter,Georgia,11/21/2023,Commercial Raised for Release Waterfowl,Duck,"30,000",30000
Tillamook,Oregon,9/28/2022,WOAH Non-Poultry,Chicken,40,40
King,Washington,7/1/2022,WOAH Poultry,Poultry,220,220
Berks,Pennsylvania,5/10/2022,Commercial Duck Breeder,Duck,"23,800",23800
Culebra,Puerto Rico,1/13/2025,WOAH Poultry,Multiple Poultry Species,380,380
Queens,New York,4/5/2023,Live Bird Market,Multiple Poultry Species,"1,300",1300
Lancaster,Pennsylvania,2/22/2023,WOAH Poultry,Duck,"4,200",4200
Stearns,Minnesota,6/13/2024,Commercial Turkey Meat Bird,Turkey,"32,900",32900
Union,Ohio,11/21/2023,Commercial Table Egg Layer,Chicken,"1,348,900",1348900
Richland,South Carolina,5/31/2024,WOAH Non-Poultry,Chicken,30,30
Burnett,Wisconsin,12/27/2024,Commercial Turkey Meat Bird,Turkey,"18,600",18600
Dubois,Indiana,2/8/2022,Commercial Turkey Meat Bird,Turkey,"29,000",29000
Webster,Kentucky,2/15/2022,Commercial Turkey Meat Bird,Turkey,"53,300",53300
Lancaster,Pennsylvania,3/4/2023,Commercial Turkey Meat Bird,Turkey,"19,600",19600
Sanpete,Utah,9/13/2022,Commercial Turkey Meat Bird,Turkey,"5,800",5800
Merced,California,9/18/2024,Commercial Turkey Meat Bird,Turkey,"64,800",64800
