County,State,Temp,Temp Anomaly (1901-2000 base period),Temp 1901-2000 Mean,Precipitation,Prec Anomaly (1901-2000 base period),Prec 1901-2000 Mean,Z Palmer Index,Z Anomaly (1901-2000 base period),Z 1901-2000 Mean
Valley ,Montana,44.2,4.1,40.1,12.26,-0.26,12.52,-0.29,-0.49,0.2
Wheatland ,Montana,44.6,2.8,41.8,14.09,-1.9,15.99,-0.84,-1.04,0.19
Wibaux ,Montana,45.7,3.4,42.3,11.7,-2.61,14.31,-0.66,-0.88,0.22
Yellowstone ,Montana,48.4,3.1,45.3,14.47,0.96,13.51,-0.05,-0.1,0.05
Adams ,Nebraska,53.7,3.6,50.1,25.04,-0.11,25.15,-0.44,-0.57,0.13
Antelope ,Nebraska,51.2,3.4,47.8,22.81,-1.94,24.75,-0.08,-0.34,0.25
Arthur ,Nebraska,51.3,4,47.3,17.45,-1.16,18.61,-0.4,-0.61,0.2
Banner ,Nebraska,50.7,4,46.6,11.87,-5.33,17.2,-1.52,-1.87,0.35
Blaine ,Nebraska,51.3,3.2,48.2,22.19,-0.28,22.47,0.25,0.01,0.24
Boone ,Nebraska,51.7,3.8,47.9,27.24,1.74,25.5,0.21,-0.01,0.22
Box Butte ,Nebraska,50,3.9,46.1,12.63,-4.2,16.83,-0.91,-1.21,0.3
Boyd ,Nebraska,50.8,3,47.8,22.35,-0.48,22.83,0.26,0.08,0.18
Brown ,Nebraska,50.7,3.2,47.6,21.21,-1.47,22.68,0.14,-0.13,0.27
Buffalo ,Nebraska,53,3.7,49.3,27.97,3.76,24.21,0.33,0.22,0.11
Burt ,Nebraska,52.6,4.1,48.5,29.99,1.29,28.7,-0.23,-0.48,0.24
Butler ,Nebraska,53.2,3.8,49.4,30.74,2.6,28.14,0.01,-0.22,0.22
Cass ,Nebraska,54.5,3.9,50.5,27.97,-2.38,30.35,-0.76,-0.79,0.03
Cedar ,Nebraska,50.8,3.6,47.2,27.36,1.23,26.13,0.37,0.04,0.33
Chase ,Nebraska,54.1,4.3,49.8,18.35,-0.56,18.91,-0.76,-1.01,0.25
Cherry ,Nebraska,50.7,4.1,46.6,17.67,-2.39,20.06,-0.04,-0.28,0.24
Cheyenne ,Nebraska,51.4,3.8,47.6,16.33,-1.36,17.69,-0.6,-0.82,0.22
Clay ,Nebraska,53.7,3.5,50.2,25.01,-1.34,26.35,-0.58,-0.74,0.16
Colfax ,Nebraska,53.2,4.5,48.8,26.45,-1.25,27.7,-0.57,-0.79,0.23
Cuming ,Nebraska,52,3.8,48.2,26.77,-1.15,27.92,-0.27,-0.59,0.31
Custer ,Nebraska,51.7,3.6,48.1,23.22,0.35,22.87,0.26,0.06,0.21
Dakota ,Nebraska,51.3,3.6,47.7,28.21,1.7,26.51,0.34,0.08,0.26
Dawes ,Nebraska,50.7,4,46.6,11.53,-6.42,17.95,-1.3,-1.71,0.41
Dawson ,Nebraska,52.5,3,49.5,25.35,2.97,22.38,0.16,0.01,0.15
Deuel ,Nebraska,52.2,3.5,48.7,17.26,-1.02,18.28,-0.51,-0.7,0.19
Dixon ,Nebraska,50.7,3.3,47.4,28.65,2.13,26.52,0.46,0.16,0.31
Dodge ,Nebraska,53.3,4.3,49,30.66,1.79,28.87,-0.25,-0.46,0.21
Douglas ,Nebraska,54,4.1,49.9,32.5,2.89,29.61,-0.15,-0.27,0.12
Dundy ,Nebraska,54.8,4.2,50.6,18.45,-0.25,18.7,-0.62,-0.85,0.22
Fillmore ,Nebraska,54.1,3.5,50.6,25.27,-2.53,27.8,-0.94,-1.09,0.15
Franklin ,Nebraska,54.4,3.5,51,25.18,1.15,24.03,-0.23,-0.33,0.1
Frontier ,Nebraska,53.6,3.5,50,22.68,1.46,21.22,-0.14,-0.32,0.18
Furnas ,Nebraska,54,2.8,51.1,25.13,3.31,21.82,0.25,0.12,0.13
Gage ,Nebraska,54.8,3.5,51.3,26.63,-3.45,30.08,-0.94,-1.01,0.07
Garden ,Nebraska,51.1,4,47.2,17.07,-0.58,17.65,-0.44,-0.72,0.28
Garfield ,Nebraska,50.9,3.5,47.3,21.61,-0.95,22.56,0.15,-0.05,0.2
Gosper ,Nebraska,53.2,2.9,50.3,24.64,2.52,22.12,0.07,-0.1,0.17
Grant ,Nebraska,50.4,4.1,46.3,17.4,-1.73,19.13,-0.37,-0.58,0.21
Greeley ,Nebraska,51.6,3.5,48.1,27.07,2.88,24.19,0.45,0.22,0.24
Hall ,Nebraska,53.3,3.7,49.6,27.6,2.75,24.85,0.02,-0.17,0.18
Hamilton ,Nebraska,53.6,3.6,49.9,27.94,1.9,26.04,-0.02,-0.32,0.3
Harlan ,Nebraska,54.5,3.3,51.2,24.51,1.68,22.83,0.01,-0.16,0.16
Hayes ,Nebraska,53.7,3.8,49.9,21.24,0.76,20.48,-0.23,-0.49,0.25
Hitchcock ,Nebraska,54.6,3.6,51,20.3,0.14,20.16,-0.3,-0.45,0.15
Holt ,Nebraska,50.4,3.1,47.3,22.66,-0.35,23.01,0.26,0.06,0.2
Hooker ,Nebraska,50.9,3.6,47.3,19.78,-0.51,20.29,-0.12,-0.15,0.03
Howard ,Nebraska,52.7,3.6,49.1,31.19,6.62,24.57,0.84,0.59,0.25
Jefferson ,Nebraska,55,3.8,51.2,25.5,-3.28,28.78,-1.15,-1.23,0.08
Johnson ,Nebraska,54.6,3.3,51.3,27.88,-3.78,31.66,-0.81,-0.88,0.07
Kearney ,Nebraska,53.4,3.5,49.9,25.77,1.42,24.35,-0.16,-0.26,0.1
Keith ,Nebraska,52.7,3.8,48.9,16.62,-1.85,18.47,-0.86,-1.05,0.19
Keya Paha ,Nebraska,50.6,3.5,47.1,20.39,-1.32,21.71,0.25,0,0.25
Kimball ,Nebraska,49.9,3.7,46.1,13.24,-3.4,16.64,-1.06,-1.28,0.21
Knox ,Nebraska,51,3.3,47.7,24.18,-0.49,24.67,0.21,-0.04,0.24
Lancaster ,Nebraska,54.8,4.3,50.5,27.99,-1.19,29.18,-0.76,-0.91,0.15
Lincoln ,Nebraska,52.5,3.5,49,21.27,0.65,20.62,-0.17,-0.35,0.19
Logan ,Nebraska,51.5,3.3,48.1,21.01,-0.3,21.31,-0.05,-0.19,0.14
Loup ,Nebraska,51,3.5,47.5,20.29,-2.27,22.56,0.04,-0.24,0.29
McPherson ,Nebraska,51.3,3.5,47.8,19.12,-0.76,19.88,-0.44,-0.49,0.06
Madison ,Nebraska,52.1,4,48.1,26.62,0.24,26.38,0.01,-0.26,0.27
Merrick ,Nebraska,53.4,3.9,49.5,30.74,4.91,25.83,0.47,0.16,0.31
Morrill ,Nebraska,51.3,4.1,47.2,15.08,-1.22,16.3,-0.49,-0.81,0.32
Nance ,Nebraska,52.8,4,48.8,31,5.16,25.84,0.48,0.19,0.29
Nemaha ,Nebraska,55.3,3.5,51.7,29.37,-3.93,33.3,-0.88,-0.96,0.08
Nuckolls ,Nebraska,54.4,3.5,50.9,23.44,-3.14,26.58,-0.98,-1.05,0.07
Otoe ,Nebraska,54.7,3.6,51.1,28.08,-3.11,31.19,-0.71,-0.79,0.09
Pawnee ,Nebraska,54.9,3.3,51.7,29.89,-2.33,32.22,-0.43,-0.52,0.09
Perkins ,Nebraska,53.1,4,49.1,17.59,-1.21,18.8,-0.84,-1.07,0.23
Phelps ,Nebraska,53.3,3.3,50,24.59,1.49,23.1,-0.1,-0.23,0.13
Pierce ,Nebraska,51.3,3.7,47.6,25.45,-0.64,26.09,0.04,-0.22,0.26
Platte ,Nebraska,52.8,4.2,48.6,29.18,2.6,26.58,0.02,-0.24,0.27
Polk ,Nebraska,53.4,3.9,49.5,31.59,4.56,27.03,0.3,0.05,0.26
Red Willow ,Nebraska,54.8,3.9,50.9,20.91,0.39,20.52,-0.53,-0.62,0.09
Richardson ,Nebraska,55.8,3.7,52.1,32.03,-1.81,33.84,-0.65,-0.73,0.07
Rock ,Nebraska,50.2,3.1,47.1,21.83,-0.94,22.77,0.26,0.01,0.25
Saline ,Nebraska,54.7,3.9,50.8,27.06,-1.56,28.62,-0.88,-1.04,0.15
Sarpy ,Nebraska,54.3,4,50.3,29.5,-0.32,29.82,-0.51,-0.56,0.06
Saunders ,Nebraska,54.1,4.3,49.8,32.67,3.43,29.24,-0.09,-0.21,0.12
Scotts Bluff ,Nebraska,51.6,4.2,47.4,10.33,-5.09,15.42,-1.52,-1.86,0.34
Seward ,Nebraska,54.2,4,50.1,27.14,-1.43,28.57,-0.82,-1.07,0.25
Sheridan ,Nebraska,49.9,4,45.8,13.37,-4.65,18.02,-0.96,-1.28,0.32
Sherman ,Nebraska,52.3,3.8,48.6,27.32,3.56,23.76,0.53,0.29,0.25
Sioux ,Nebraska,49.6,4.2,45.3,11.15,-5.23,16.38,-1.51,-1.8,0.29
Stanton ,Nebraska,52.3,4.1,48.2,27.61,0.57,27.04,-0.03,-0.32,0.29
Thayer ,Nebraska,54.8,3.7,51.1,22.87,-4.7,27.57,-1.28,-1.34,0.06
Thomas ,Nebraska,51.3,3.1,48.2,23.05,1.86,21.19,0.63,0.49,0.14
Thurston ,Nebraska,51.4,3.6,47.8,28.46,0.99,27.47,0.12,-0.16,0.28
Valley ,Nebraska,51.5,3.6,47.9,23.12,-0.35,23.47,0.1,-0.17,0.27
Washington ,Nebraska,53.5,4.2,49.4,33.73,4.49,29.24,0.01,-0.16,0.17
Wayne ,Nebraska,51.1,3.5,47.6,30.8,4.18,26.62,0.64,0.33,0.31
Webster ,Nebraska,54.5,3.5,50.9,24.64,-0.81,25.45,-0.44,-0.51,0.07
Wheeler ,Nebraska,51.1,3.6,47.5,23.29,-0.37,23.66,0.11,-0.09,0.2
York ,Nebraska,53.7,3.5,50.2,27.4,-0.21,27.61,-0.53,-0.78,0.25
Churchill ,Nevada,53.2,2.8,50.4,5.59,-1.07,6.66,-0.86,-0.76,-0.1
Clark ,Nevada,66.7,3.6,63.1,4.16,-3.34,7.5,-1.07,-1.11,0.04
Douglas ,Nevada,50.5,2.6,47.8,14.57,-1.45,16.02,-0.74,-0.72,-0.03
Elko ,Nevada,46.6,2.3,44.3,12.08,-1.97,14.05,-0.63,-0.56,-0.07
Esmeralda ,Nevada,54.4,3.4,51,3.2,-2.16,5.36,-1.16,-1.17,0.01
Eureka ,Nevada,48.1,3,45.2,9.29,-2.03,11.32,-0.63,-0.68,0.04
Humboldt ,Nevada,50.7,2.6,48.1,10.73,-0.7,11.43,-0.36,-0.4,0.04
Lander ,Nevada,49.9,2.8,47.1,9.81,-0.5,10.31,-0.47,-0.44,-0.03
Lincoln ,Nevada,57.2,3.4,53.9,6.49,-3.98,10.47,-1.15,-1.19,0.04
Lyon ,Nevada,52.6,2.6,50,7.23,-1.02,8.25,-0.71,-0.69,-0.03
Mineral ,Nevada,52.6,3.7,48.9,5.12,-1.45,6.57,-1.12,-1.07,-0.05
Nye ,Nevada,54,3.5,50.5,5.46,-2.8,8.26,-1.15,-1.19,0.05
Pershing ,Nevada,52.3,2.5,49.9,7.89,-0.71,8.6,-0.46,-0.43,-0.03
Storey ,Nevada,52.2,2.9,49.4,10.45,-2.02,12.47,-0.84,-0.82,-0.02
Washoe ,Nevada,50.8,2.7,48.1,10.57,-1.89,12.46,-0.8,-0.9,0.1
White Pine ,Nevada,47.9,3,45,10.52,-2.29,12.81,-0.73,-0.86,0.12
Carson City,Nevada,51.6,2.8,48.8,12.28,-2.88,15.16,-0.97,-0.94,-0.03
Belknap ,New Hampshire,48,4,43.9,39.92,-2.32,42.24,-0.85,-0.83,-0.02
Carroll ,New Hampshire,46.6,4.4,42.2,47.18,0.43,46.75,-0.24,-0.2,-0.04
Cheshire ,New Hampshire,47.8,3.9,43.9,37.66,-4.74,42.4,-1.08,-1.03,-0.05
Coos ,New Hampshire,42.7,4.2,38.5,47.81,3.95,43.86,0.18,0.25,-0.07
Grafton ,New Hampshire,45.2,4.4,40.8,41.92,-1.75,43.67,-0.51,-0.43,-0.08
Hillsborough ,New Hampshire,49.2,4,45.2,38.67,-4.67,43.34,-1.08,-1.04,-0.04
Merrimack ,New Hampshire,48.1,4,44.1,37.74,-4.33,42.07,-1.06,-1.03,-0.02
Rockingham ,New Hampshire,49.7,3.6,46.1,38.42,-3.84,42.26,-0.99,-0.91,-0.08
Strafford ,New Hampshire,48.4,3.3,45,39.68,-4.35,44.03,-0.96,-0.9,-0.06
Sullivan ,New Hampshire,46.8,4.4,42.4,35.31,-5.97,41.28,-1.34,-1.31,-0.03
Atlantic ,New Jersey,56.2,3.5,52.7,33.79,-9.96,43.75,-1.63,-1.63,0.01
Bergen ,New Jersey,55.2,4.2,51,43.13,-3.38,46.51,-0.81,-0.79,-0.03
Burlington ,New Jersey,56.3,3.4,52.9,35.2,-8.93,44.13,-1.55,-1.6,0.05
Camden ,New Jersey,56.7,3.4,53.3,34.77,-8.98,43.75,-1.61,-1.61,0.01
Cape May ,New Jersey,56.4,3.3,53.1,32.83,-9.96,42.79,-1.65,-1.64,-0.01
Cumberland ,New Jersey,56.5,3.5,53.1,31.3,-11.53,42.83,-1.84,-1.82,-0.02
Essex ,New Jersey,55.7,4.5,51.3,43.64,-3.79,47.43,-0.87,-0.87,0
Gloucester ,New Jersey,56.9,3.4,53.5,33.82,-9.7,43.52,-1.67,-1.65,-0.02
Hudson ,New Jersey,57.1,4.3,52.7,42.06,-3.22,45.28,-0.93,-0.93,0.01
Hunterdon ,New Jersey,53.2,3.7,49.6,39.19,-6.79,45.98,-1.2,-1.22,0.02
Mercer ,New Jersey,55.4,3.6,51.8,38.04,-6.61,44.65,-1.22,-1.27,0.05
Middlesex ,New Jersey,56.1,4.2,51.9,40.87,-4.45,45.32,-1.02,-1.07,0.05
Monmouth ,New Jersey,56,4,52,40.72,-4.24,44.96,-0.99,-1.03,0.04
Morris ,New Jersey,52.9,4,48.9,41.2,-7.36,48.56,-1.12,-1.12,0
Ocean ,New Jersey,55.8,3.6,52.3,37.92,-6.5,44.42,-1.24,-1.31,0.06
Passaic ,New Jersey,53.3,4.1,49.1,39.76,-7.78,47.54,-1.24,-1.21,-0.03
Salem ,New Jersey,56.8,3.2,53.6,32.5,-10.13,42.63,-1.67,-1.68,0
Somerset ,New Jersey,54.6,3.9,50.7,41.45,-5.05,46.5,-0.98,-1.01,0.03
Sussex ,New Jersey,51.4,3.7,47.6,35.81,-9.35,45.16,-1.46,-1.43,-0.03
Union ,New Jersey,56.3,4.5,51.8,42.1,-4.44,46.54,-0.98,-1.01,0.03
Warren ,New Jersey,52.3,4.1,48.2,38.51,-7.57,46.08,-1.23,-1.23,0
Bernalillo ,New Mexico,55.4,3.2,52.2,9.7,-2.26,11.96,-0.94,-1.03,0.09
Catron ,New Mexico,49.6,1.9,47.7,13.29,-2.54,15.83,-0.73,-0.8,0.07
Chaves ,New Mexico,62.5,4.7,57.8,11.28,-2.69,13.97,-1.11,-1.22,0.11
Cibola ,New Mexico,50.3,2,48.3,11.85,-1.22,13.07,-0.25,-0.41,0.16
Colfax ,New Mexico,48.6,2,46.6,18.62,1.64,16.98,-0.07,-0.2,0.14
Curry ,New Mexico,59.6,4.2,55.4,16.63,-0.36,16.99,-0.61,-0.72,0.1
De Baca ,New Mexico,60.7,4.2,56.5,12.53,-1.66,14.19,-0.8,-0.95,0.15
Dona Ana ,New Mexico,63.9,3.8,60.1,4.93,-4.71,9.64,-1.81,-1.81,0
Eddy ,New Mexico,64.7,4.2,60.5,7.34,-5.93,13.27,-1.6,-1.66,0.06
Grant ,New Mexico,58.1,3.3,54.9,10.78,-4.66,15.44,-1.15,-1.17,0.02
Guadalupe ,New Mexico,57.3,3.2,54.1,15,0.7,14.3,-0.29,-0.41,0.11
Harding ,New Mexico,55.9,2.7,53.3,17.7,1.85,15.85,-0.05,-0.12,0.07
Hidalgo ,New Mexico,61.8,2.9,58.9,8.43,-4.11,12.54,-1.27,-1.27,0
Lea ,New Mexico,63.5,4.1,59.4,8.04,-7.04,15.08,-1.65,-1.72,0.07
Lincoln ,New Mexico,57.3,4,53.3,9.53,-5.11,14.64,-1.7,-1.78,0.08
Los Alamos ,New Mexico,48.8,2.6,46.1,18.8,0.22,18.58,-0.26,-0.37,0.11
Luna ,New Mexico,63.4,3.6,59.8,6.9,-3.45,10.35,-1.36,-1.36,0
McKinley ,New Mexico,50.6,2.3,48.3,11.05,-0.94,11.99,-0.29,-0.38,0.09
Mora ,New Mexico,49.5,2.6,46.8,20.7,2.37,18.33,-0.08,-0.25,0.17
Otero ,New Mexico,60.1,3.6,56.5,7.78,-5.28,13.06,-1.72,-1.75,0.03
Quay ,New Mexico,59.4,3,56.4,15.4,-1.01,16.41,-0.57,-0.68,0.11
Rio Arriba ,New Mexico,46.9,2.3,44.5,17.32,0.71,16.61,-0.13,-0.24,0.11
Roosevelt ,New Mexico,60.5,4.1,56.4,18.8,2.46,16.34,-0.22,-0.32,0.1
Sandoval ,New Mexico,51.9,2.7,49.2,10.78,-2.59,13.37,-0.95,-1,0.05
San Juan ,New Mexico,53.9,3.5,50.4,8.79,-0.69,9.48,-0.91,-0.87,-0.04
San Miguel ,New Mexico,54.3,2.5,51.9,18.75,2.25,16.5,-0.04,-0.17,0.13
Santa Fe ,New Mexico,51.1,2.6,48.5,15.72,1,14.72,-0.21,-0.35,0.14
Sierra ,New Mexico,60.4,3.9,56.6,8.76,-2.95,11.71,-1.11,-1.16,0.06
Socorro ,New Mexico,56.2,3.2,53,9.99,-1.59,11.58,-0.74,-0.86,0.12
Taos ,New Mexico,44.2,2.1,42.1,21.84,4.01,17.83,0.85,0.64,0.21
Torrance ,New Mexico,52.8,3.2,49.5,14.27,-0.16,14.43,-0.54,-0.64,0.11
Union ,New Mexico,53.4,1.9,51.5,18.43,2.05,16.38,0.22,0.1,0.12
Valencia ,New Mexico,56.9,2.9,54,9.07,-1.21,10.28,-0.65,-0.82,0.16
Albany ,New York,50.4,4,46.3,37.33,0.16,37.17,-0.52,-0.49,-0.04
Allegany ,New York,48.5,3.7,44.8,36.46,-0.5,36.96,-0.38,-0.46,0.08
Bronx ,New York,56.7,4.1,52.6,41.97,-3.07,45.04,-0.84,-0.83,-0.01
Broome ,New York,48.7,3,45.7,43.16,4.38,38.78,0.39,0.42,-0.03
Cattaraugus ,New York,48.3,3.6,44.7,41.08,-1.47,42.55,-0.58,-0.6,0.03
Cayuga ,New York,49.6,3.5,46.1,39.12,2.2,36.92,0.15,0.12,0.03
Chautauqua ,New York,49.8,3.8,45.9,42.29,-0.25,42.54,-0.53,-0.52,-0.01
Chemung ,New York,49.3,3.4,45.9,34.39,-0.21,34.6,-0.46,-0.44,-0.02
Chenango ,New York,47.3,2.9,44.4,42.33,1.44,40.89,0.1,0.11,-0.01
Clinton ,New York,46.7,5,41.8,38.42,3.96,34.46,0.37,0.33,0.04
Columbia ,New York,51.1,4,47.1,37.86,-2.48,40.34,-0.86,-0.83,-0.02
Cortland ,New York,47.4,3.2,44.2,40.41,-0.58,40.99,-0.22,-0.19,-0.03
Delaware ,New York,46.8,2.9,43.8,43.96,1.47,42.49,-0.01,-0.02,0.01
Dutchess ,New York,51.9,4.2,47.8,38.4,-5.09,43.49,-0.94,-1,0.05
Erie ,New York,50.6,4.4,46.2,38.69,0.5,38.19,-0.58,-0.53,-0.05
Essex ,New York,44.5,4.1,40.4,41.26,0.39,40.87,-0.11,-0.06,-0.04
Franklin ,New York,45.1,4.9,40.3,43.19,4.23,38.96,0.26,0.22,0.04
Fulton ,New York,47.4,3.7,43.7,47.21,1.78,45.43,0.05,0.06,-0.01
Genesee ,New York,49.9,3.9,46,34.91,0.99,33.92,-0.23,-0.26,0.03
Greene ,New York,48.8,3.7,45,40.46,-2.22,42.68,-0.6,-0.59,0
Hamilton ,New York,43.9,4.2,39.8,44.62,-2.12,46.74,-0.37,-0.35,-0.02
Herkimer ,New York,45.5,3.8,41.8,52.03,5.25,46.78,0.43,0.43,0
Jefferson ,New York,48.3,4.7,43.6,46.92,8.25,38.67,0.92,0.85,0.07
Kings ,New York,57.2,4.2,53,40.54,-3.9,44.44,-1,-1.01,0.01
Lewis ,New York,45.8,4.5,41.3,53.67,8.44,45.23,0.72,0.71,0.01
Livingston ,New York,50.3,4,46.3,33.12,0.79,32.33,-0.35,-0.34,-0.01
Madison ,New York,47.8,3.7,44.1,42.7,2.41,40.29,0.18,0.16,0.03
Monroe ,New York,50.9,4.1,46.9,31.93,0.09,31.84,-0.42,-0.49,0.07
Montgomery ,New York,49.3,3.4,45.9,41.07,2.67,38.4,0.14,0.11,0.02
Nassau ,New York,56,4.1,51.9,40.76,-3.77,44.53,-0.88,-0.89,0
New York ,New York,57.1,4.2,52.9,41.74,-3.12,44.86,-0.9,-0.89,-0.01
Niagara ,New York,50.9,3.9,47,31.34,-0.84,32.18,-0.66,-0.65,-0.01
Oneida ,New York,47.9,3.9,44,50.9,5.89,45.01,0.52,0.53,-0.01
Onondaga ,New York,50,4.3,45.7,41.71,3.27,38.44,0.25,0.19,0.06
Ontario ,New York,50.1,3.7,46.3,34.2,1.91,32.29,-0.04,0,-0.04
Orange ,New York,51.5,3.6,47.9,38.5,-5.08,43.58,-1.01,-0.98,-0.03
Orleans ,New York,50.3,3.7,46.6,33.09,0.7,32.39,-0.19,-0.29,0.11
Oswego ,New York,49.6,4.6,44.9,47.72,5.71,42.01,0.57,0.51,0.06
Otsego ,New York,46.6,2.6,44,44.23,2.96,41.27,0.31,0.26,0.05
Putnam ,New York,52.4,4.1,48.3,41.28,-5.45,46.73,-0.9,-0.92,0.02
Queens ,New York,56.8,4.1,52.7,40.4,-3.84,44.24,-0.97,-0.96,-0.01
Rensselaer ,New York,49.9,4.2,45.7,38.81,-0.32,39.13,-0.68,-0.58,-0.1
Richmond ,New York,57.2,4.4,52.8,40.75,-4.84,45.59,-1.08,-1.11,0.03
Rockland ,New York,53.8,4.1,49.7,41.52,-5.18,46.7,-0.95,-0.91,-0.03
St. Lawrence ,New York,47,5.2,41.8,42.57,4.19,38.38,0.25,0.22,0.02
Saratoga ,New York,49.2,4.3,44.9,41,0.09,40.91,-0.26,-0.21,-0.05
Schenectady ,New York,50,4.1,46,38.43,1.42,37.01,-0.24,-0.22,-0.02
Schoharie ,New York,47.7,3.2,44.5,39.18,0.67,38.51,-0.22,-0.27,0.05
Schuyler ,New York,49,3.5,45.5,32.97,-0.68,33.65,-0.49,-0.49,0
Seneca ,New York,50.2,3.2,47,33.85,0.51,33.34,-0.16,-0.14,-0.02
Steuben ,New York,48.8,3.6,45.2,32.67,-1.61,34.28,-0.72,-0.72,0.01
Suffolk ,New York,54.3,3.9,50.3,42.17,-2.34,44.51,-0.66,-0.74,0.08
Sullivan ,New York,48.5,3.3,45.2,42.84,-2.69,45.53,-0.59,-0.55,-0.04
Tioga ,New York,48.9,3.1,45.8,38.68,1.84,36.84,0.04,0.04,0
Tompkins ,New York,48.6,3,45.6,35.31,-1.22,36.53,-0.47,-0.44,-0.02
Ulster ,New York,49.7,3.7,46,44.09,-3.05,47.14,-0.6,-0.6,0
Warren ,New York,46.5,4.2,42.3,38.65,-3.22,41.87,-0.61,-0.57,-0.04
Washington ,New York,48.8,4.3,44.5,35.41,-2.37,37.78,-0.94,-0.82,-0.12
Wayne ,New York,50.2,3.5,46.7,32.62,-1.45,34.07,-0.61,-0.56,-0.05
Westchester ,New York,54.2,4.2,50,42.33,-4.7,47.03,-0.88,-0.87,-0.01
Wyoming ,New York,48.8,4.1,44.7,37.73,0.72,37.01,-0.32,-0.34,0.02
Yates ,New York,49.7,3.5,46.2,32.47,0.46,32.01,-0.31,-0.29,-0.02
Alamance ,North Carolina,60.6,2.4,58.1,50.24,5.09,45.15,0.08,0.07,0.01
Alexander ,North Carolina,59.5,2.4,57.1,49.5,2.11,47.39,-0.2,-0.25,0.06
Alleghany ,North Carolina,54.2,3.3,50.9,56.12,5.12,51,-0.06,-0.14,0.08
Anson ,North Carolina,62.9,2.1,60.8,50.92,5.09,45.83,0.34,0.3,0.04
Ashe ,North Carolina,52.5,2.6,49.9,60.77,9.85,50.92,0.4,0.38,0.03
Avery ,North Carolina,51.4,2.2,49.2,57.81,2.88,54.93,-0.22,-0.28,0.06
Beaufort ,North Carolina,62.5,1.5,61,50.49,-1.13,51.62,-0.42,-0.45,0.03
Bertie ,North Carolina,61.7,2.3,59.4,45.47,-3.35,48.82,-0.56,-0.59,0.03
Bladen ,North Carolina,63.3,1.7,61.7,47.83,-0.22,48.05,-0.24,-0.33,0.09
Brunswick ,North Carolina,63.8,1.3,62.5,50.93,-0.95,51.88,-0.34,-0.39,0.05
Buncombe ,North Carolina,55.4,2.2,53.2,52.36,4.23,48.13,0.08,0.04,0.04
Burke ,North Carolina,59.2,2.4,56.8,51.44,0.78,50.66,-0.29,-0.34,0.05
Cabarrus ,North Carolina,61,1.6,59.4,45.76,-0.44,46.2,-0.04,-0.18,0.14
Caldwell ,North Carolina,58.7,2.3,56.4,54.59,2.95,51.64,-0.18,-0.23,0.06
Camden ,North Carolina,61.3,2.1,59.2,46.12,-1.86,47.98,-0.49,-0.49,0
Carteret ,North Carolina,63.6,1.2,62.3,53.5,-1.68,55.18,-0.35,-0.42,0.07
Caswell ,North Carolina,60.1,2.4,57.7,45.69,2.21,43.48,-0.18,-0.19,0
Catawba ,North Carolina,60.3,2.4,57.9,48.88,1.04,47.84,-0.2,-0.28,0.08
Chatham ,North Carolina,61.5,2.4,59.1,49.14,2.91,46.23,-0.19,-0.16,-0.03
Cherokee ,North Carolina,57.5,1.7,55.8,51.86,-7.81,59.67,-0.67,-0.69,0.03
Chowan ,North Carolina,61.9,2.1,59.8,45.57,-3.99,49.56,-0.61,-0.62,0.01
Clay ,North Carolina,56.5,2.4,54.2,53,-8.53,61.53,-0.79,-0.83,0.04
Cleveland ,North Carolina,60.4,1.8,58.6,48.13,-1.27,49.4,-0.22,-0.3,0.08
Columbus ,North Carolina,63.6,1.5,62.1,48.51,-0.97,49.48,-0.32,-0.37,0.05
Craven ,North Carolina,62.8,1.5,61.3,52.33,-0.66,52.99,-0.42,-0.47,0.04
Cumberland ,North Carolina,63.1,1.9,61.2,45.69,-1.39,47.08,-0.38,-0.43,0.05
Currituck ,North Carolina,61.6,2.2,59.4,45.27,-2.25,47.52,-0.57,-0.56,-0.01
Dare ,North Carolina,62.6,1.4,61.2,49.68,-1.26,50.94,-0.26,-0.3,0.05
Davidson ,North Carolina,60.4,2.4,58,42.76,-3.09,45.85,-0.6,-0.64,0.04
Davie ,North Carolina,59.8,2.5,57.3,38.82,-6.7,45.52,-1.06,-1.12,0.06
Duplin ,North Carolina,62.2,1.2,61,51.32,0.84,50.48,-0.12,-0.16,0.04
Durham ,North Carolina,61.4,3.1,58.3,49.14,4.61,44.53,-0.06,-0.06,0
Edgecombe ,North Carolina,61.9,2.3,59.5,45.4,-1.91,47.31,-0.55,-0.56,0
Forsyth ,North Carolina,59.5,2.5,57.1,41.05,-3.67,44.72,-0.67,-0.72,0.06
Franklin ,North Carolina,60.8,2.5,58.3,49.61,3.72,45.89,-0.04,-0.04,0
Gaston ,North Carolina,61.1,2.1,58.9,49.43,1.8,47.63,0.05,-0.01,0.05
Gates ,North Carolina,61.1,2.1,59,46.91,-1.42,48.33,-0.35,-0.36,0.01
Graham ,North Carolina,55.5,1.9,53.6,49.06,-14.6,63.66,-1.23,-1.28,0.05
Granville ,North Carolina,60.5,3,57.5,48.69,4.04,44.65,-0.04,-0.05,0.01
Greene ,North Carolina,62.3,1.7,60.5,50.6,1.77,48.83,-0.22,-0.25,0.03
Guilford ,North Carolina,60.2,2.5,57.7,47.52,2.75,44.77,-0.11,-0.15,0.04
Halifax ,North Carolina,60.8,2.2,58.6,42.62,-3.26,45.88,-0.62,-0.64,0.03
